model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,26,4,양방향 동시 위협,40,67,16,1,15,24,0.4,71,0.0,-885.83,[]
astar,27,4,양방향 동시 위협,40,68,40,20,20,0,1.0,53,0.0,892.49,[]
astar,28,4,양방향 동시 위협,40,69,29,14,15,11,0.725,77,0.0,103.04,[]
astar,29,4,양방향 동시 위협,40,70,30,27,3,10,0.75,84,0.0,201.92,[]
astar,30,4,양방향 동시 위협,40,71,10,4,6,30,0.25,83,0.0,-1370.29,[]
ppo,1,4,양방향 동시 위협,40,42,35,31,4,5,0.875,88,0.0,597.51,[]
ppo,2,4,양방향 동시 위협,40,43,37,5,32,3,0.925,92,0.0,726.75,[]
ppo,3,4,양방향 동시 위협,40,44,35,3,32,5,0.875,94,0.0,598.01,[]
ppo,4,4,양방향 동시 위협,40,45,2,2,0,38,0.05,57,0.0,-1905.29,[]
ppo,5,4,양방향 동시 위협,40,46,31,23,8,9,0.775,81,0.0,277.24,[]
ppo,6,4,양방향 동시 위협,40,47,7,3,4,33,0.175,52,0.0,-1525.5,[]
ppo,7,4,양방향 동시 위협,40,48,10,9,1,30,0.25,49,0.0,-1290.16,[]
ppo,8,4,양방향 동시 위협,40,49,36,5,31,4,0.9,74,0.0,659.83,[]
ppo,9,4,양방향 동시 위협,40,50,11,5,6,29,0.275,62,0.0,-1229.46,[]
ppo,10,4,양방향 동시 위협,40,51,7,2,5,33,0.175,56,0.0,-1526.19,[]
ppo,11,4,양방향 동시 위협,40,52,34,27,7,6,0.85,84,0.0,520.5,[]
ppo,12,4,양방향 동시 위협,40,53,40,20,20,0,1.0,71,0.0,895.38,[]
ppo,13,4,양방향 동시 위협,40,54,35,29,6,5,0.875,90,0.0,583.33,[]
ppo,14,4,양방향 동시 위협,40,55,10,8,2,30,0.25,77,0.0,-1298.34,[]
ppo,15,4,양방향 동시 위협,40,56,32,29,3,8,0.8,77,0.0,368.46,[]
ppo,16,4,양방향 동시 위협,40,57,37,1,36,3,0.925,77,0.0,732.37,[]
ppo,17,4,양방향 동시 위협,40,58,36,10,26,4,0.9,54,0.0,660.37,[]
ppo,18,4,양방향 동시 위협,40,59,33,1,32,7,0.825,75,0.0,438.89,[]
ppo,19,4,양방향 동시 위협,40,60,13,7,6,27,0.325,56,0.0,-1080.67,[]
ppo,20,4,양방향 동시 위협,40,61,2,1,1,38,0.05,67,0.0,-1888.28,[]
ppo,21,4,양방향 동시 위협,40,62,30,25,5,10,0.75,80,0.0,213.17,[]
ppo,22,4,양방향 동시 위협,40,63,33,4,29,7,0.825,64,0.0,445.77,[]
ppo,23,4,양방향 동시 위협,40,64,32,1,31,8,0.8,93,0.0,384.22,[]
ppo,24,4,양방향 동시 위협,40,65,9,2,7,31,0.225,64,0.0,-1392.76,[]
ppo,25,4,양방향 동시 위협,40,66,35,1,34,5,0.875,59,0.0,596.17,[]
ppo,26,4,양방향 동시 위협,40,67,36,1,35,4,0.9,65,0.0,692.73,[]
ppo,27,4,양방향 동시 위협,40,68,40,20,20,0,1.0,43,0.0,892.55,[]
ppo,28,4,양방향 동시 위협,40,69,32,22,10,8,0.8,86,0.0,352.51,[]
ppo,29,4,양방향 동시 위협,40,70,31,30,1,9,0.775,88,0.0,288.13,[]
ppo,30,4,양방향 동시 위협,40,71,31,3,28,9,0.775,120,0.0,286.14,[]
